2018-12-26 22:31:37.1822 Info Loading Cardigann definition /app/Jackett/Definitions/rockbox.yml 
2018-12-26 22:31:37.1822 Info Loading Cardigann definition /app/Jackett/Definitions/rodvd.yml 
2018-12-26 22:31:37.1894 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2018-12-26 22:31:37.1927 Info Loading Cardigann definition /app/Jackett/Definitions/scenefz.yml 
2018-12-26 22:31:37.1973 Info Loading Cardigann definition /app/Jackett/Definitions/scenehd.yml 
2018-12-26 22:31:37.2010 Info Loading Cardigann definition /app/Jackett/Definitions/scenereactor.yml 
2018-12-26 22:31:37.2048 Info Loading Cardigann definition /app/Jackett/Definitions/scenerush.yml 
2018-12-26 22:31:37.2087 Info Loading Cardigann definition /app/Jackett/Definitions/sdbits.yml 
2018-12-26 22:31:37.2115 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
2018-12-26 22:31:37.2197 Info Loading Cardigann definition /app/Jackett/Definitions/sharespacedb.yml 
2018-12-26 22:31:37.2267 Info Loading Cardigann definition /app/Jackett/Definitions/shellife.yml 
2018-12-26 22:31:37.2267 Info Loading Cardigann definition /app/Jackett/Definitions/sktorrent.yml 
2018-12-26 22:31:37.2341 Info Loading Cardigann definition /app/Jackett/Definitions/skytorrentsclone.yml 
2018-12-26 22:31:37.2341 Info Loading Cardigann definition /app/Jackett/Definitions/speed-share.yml 
2018-12-26 22:31:37.2531 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2018-12-26 22:31:37.2582 Info Loading Cardigann definition /app/Jackett/Definitions/sporthd.yml 
2018-12-26 22:31:37.2642 Info Loading Cardigann definition /app/Jackett/Definitions/sportscult.yml 
2018-12-26 22:31:37.2699 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2018-12-26 22:31:37.2699 Info Loading Cardigann definition /app/Jackett/Definitions/sukebeinyaasi.yml 
2018-12-26 22:31:37.2767 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2018-12-26 22:31:37.2817 Info Loading Cardigann definition /app/Jackett/Definitions/tbplus.yml 
2018-12-26 22:31:37.2877 Info Loading Cardigann definition /app/Jackett/Definitions/tenyardtracker.yml 
2018-12-26 22:31:37.2877 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2018-12-26 22:31:37.2944 Info Loading Cardigann definition /app/Jackett/Definitions/thegeeks.yml 
2018-12-26 22:31:37.3032 Info Loading Cardigann definition /app/Jackett/Definitions/thehorrorcharnel.yml 
2018-12-26 22:31:37.3059 Info Loading Cardigann definition /app/Jackett/Definitions/theoccult.yml 
2018-12-26 22:31:37.3125 Info Loading Cardigann definition /app/Jackett/Definitions/thepiratebay.yml 
2018-12-26 22:31:37.3203 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
2018-12-26 22:31:37.3255 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2018-12-26 22:31:37.3322 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2018-12-26 22:31:37.3387 Info Loading Cardigann definition /app/Jackett/Definitions/thetorrents.yml 
2018-12-26 22:31:37.3450 Info Loading Cardigann definition /app/Jackett/Definitions/thevault.yml 
2018-12-26 22:31:37.3517 Info Loading Cardigann definition /app/Jackett/Definitions/tntvillage.yml 
2018-12-26 22:31:37.3542 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2018-12-26 22:31:37.3542 Info Loading Cardigann definition /app/Jackett/Definitions/torlock.yml 
2018-12-26 22:31:37.3612 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2018-12-26 22:31:37.3648 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9.yml 
2018-12-26 22:31:37.3684 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9clone.yml 
2018-12-26 22:31:37.3722 Info Loading Cardigann definition /app/Jackett/Definitions/torrentbd.yml 
2018-12-26 22:31:37.3811 Info Loading Cardigann definition /app/Jackett/Definitions/torrentccf.yml 
2018-12-26 22:31:37.3864 Info Loading Cardigann definition /app/Jackett/Definitions/torrentcouch.yml 
2018-12-26 22:31:37.3864 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownloads.yml 
2018-12-26 22:31:37.3914 Info Loading Cardigann definition /app/Jackett/Definitions/torrentgalaxyorg.yml 
2018-12-26 22:31:37.3986 Info Loading Cardigann definition /app/Jackett/Definitions/torrenthr.yml 
2018-12-26 22:31:37.4048 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2018-12-26 22:31:37.4092 Info Loading Cardigann definition /app/Jackett/Definitions/torrentland.yml 
2018-12-26 22:31:37.4160 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2018-12-26 22:31:37.4231 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsectorcrew.yml 
2018-12-26 22:31:37.4317 Info Loading Cardigann definition /app/Jackett/Definitions/torrentseeds.yml 
2018-12-26 22:31:37.4414 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsmd.yml 
2018-12-26 22:31:37.4458 Info Loading Cardigann definition /app/Jackett/Definitions/torrentz2.yml 
2018-12-26 22:31:37.4506 Info Loading Cardigann definition /app/Jackett/Definitions/torviet.yml 
2018-12-26 22:31:37.4562 Info Loading Cardigann definition /app/Jackett/Definitions/totheglory.yml 
2018-12-26 22:31:37.4810 Info Loading Cardigann definition /app/Jackett/Definitions/trancetraffic.yml 
2018-12-26 22:31:37.4836 Info Loading Cardigann definition /app/Jackett/Definitions/trezzor.yml 
2018-12-26 22:31:37.4899 Info Loading Cardigann definition /app/Jackett/Definitions/uhdbits.yml 
2018-12-26 22:31:37.4959 Info Loading Cardigann definition /app/Jackett/Definitions/ultimategamerclub.yml 
2018-12-26 22:31:37.5023 Info Loading Cardigann definition /app/Jackett/Definitions/unionfansub.yml 
2018-12-26 22:31:37.5069 Info Loading Cardigann definition /app/Jackett/Definitions/waffles.yml 
2018-12-26 22:31:37.5170 Info Loading Cardigann definition /app/Jackett/Definitions/wihd.yml 
2018-12-26 22:31:37.5249 Info Loading Cardigann definition /app/Jackett/Definitions/worldofp2p.yml 
2018-12-26 22:31:37.5345 Info Loading Cardigann definition /app/Jackett/Definitions/worldwidetorrents.yml 
2018-12-26 22:31:37.5489 Info Loading Cardigann definition /app/Jackett/Definitions/x-ite.me.yml 
2018-12-26 22:31:37.5967 Info Loading Cardigann definition /app/Jackett/Definitions/xbytes2.yml 
2018-12-26 22:31:37.6022 Info Loading Cardigann definition /app/Jackett/Definitions/xtremezone.yml 
2018-12-26 22:31:37.6093 Info Loading Cardigann definition /app/Jackett/Definitions/yggtorrent.yml 
2018-12-26 22:31:37.6220 Info Loading Cardigann definition /app/Jackett/Definitions/yourexotic.yml 
2018-12-26 22:31:37.6220 Info Loading Cardigann definition /app/Jackett/Definitions/zamundanet.yml 
2018-12-26 22:31:37.6280 Info Loading Cardigann definition /app/Jackett/Definitions/zelkaorg.yml 
2018-12-26 22:31:37.6312 Info Loading Cardigann definition /app/Jackett/Definitions/zooqle.yml 
2018-12-26 22:31:37.6350 Info Loading Cardigann definition /app/Jackett/Definitions/ztracker.yml 
2018-12-26 22:31:37.6418 Info Adding aggregate indexer 
2018-12-26 22:31:37.7341 Warn No XML encryptor configured. Key {2b846e27-f1e7-42bf-b2c9-726f3745c368} may be persisted to storage in unencrypted form. 
2018-12-26 22:31:37.7341 Warn No XML encryptor configured. Key {2b846e27-f1e7-42bf-b2c9-726f3745c368} may be persisted to storage in unencrypted form. 
2018-12-26 22:36:33.8458 Info Starting Jackett v0.10.554.0 
2018-12-26 22:36:34.5348 Info Environment version: 4.0.30319.42000 (/usr/lib/mono/4.5) 
2018-12-26 22:36:34.5348 Info OS version: Unix 4.15.0.39 (64bit OS) (64bit process) 
2018-12-26 22:36:34.5348 Info ThreadPool MaxThreads: 3200 workerThreads, 200 completionPortThreads 
2018-12-26 22:36:34.5348 Info App config/log directory: /config/Jackett 
2018-12-26 22:36:34.5348 Info issue: Ubuntu 16.04.5 LTS \n \l 
2018-12-26 22:36:34.5348 Info mono version: 5.16.0.220 (tarball Mon Nov 26 17:22:46 UTC 2018) 
2018-12-26 22:36:34.6020 Info TrustedRootCertificates count: 148 
2018-12-26 22:36:34.6020 Info Using HTTP Client: HttpWebClient 
2018-12-26 22:36:34.7575 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2018-12-26 22:36:34.7734 Info Loading Cardigann definition /app/Jackett/Definitions/1337x.yml 
2018-12-26 22:36:34.8308 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2018-12-26 22:36:34.8400 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2018-12-26 22:36:34.8438 Info Loading Cardigann definition /app/Jackett/Definitions/420files.yml 
2018-12-26 22:36:34.8490 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2018-12-26 22:36:34.8558 Info Loading Cardigann definition /app/Jackett/Definitions/acidlounge.yml 
2018-12-26 22:36:34.8613 Info Loading Cardigann definition /app/Jackett/Definitions/anidex.yml 
2018-12-26 22:36:34.8648 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2018-12-26 22:36:34.8673 Info Loading Cardigann definition /app/Jackett/Definitions/aox.yml 
2018-12-26 22:36:34.8702 Info Loading Cardigann definition /app/Jackett/Definitions/arabafenice.yml 
2018-12-26 22:36:34.8780 Info Loading Cardigann definition /app/Jackett/Definitions/archetorrent.yml 
2018-12-26 22:36:34.8842 Info Loading Cardigann definition /app/Jackett/Definitions/arenabg.yml 
2018-12-26 22:36:34.8913 Info Loading Cardigann definition /app/Jackett/Definitions/asiandvdclub.yml 
2018-12-26 22:36:34.8953 Info Loading Cardigann definition /app/Jackett/Definitions/ast4u.yml 
